tract,tract_name,prefix_2,population,median_income,renter_rate
101110,Census Tract 1011.10; Los Angeles County; California,10,4014,68972,0.4584139264990329
101122,Census Tract 1011.22; Los Angeles County; California,10,4164,118859,0.2487346348517715
101220,Census Tract 1012.20; Los Angeles County; California,10,3481,65139,0.5685693106004448
101221,Census Tract 1012.21; Los Angeles County; California,10,3756,53348,0.7563202247191011
101222,Census Tract 1012.22; Los Angeles County; California,10,2808,36779,0.9665948275862069
101300,Census Tract 1013; Los Angeles County; California,10,4071,121490,0.2042105263157894
101400,Census Tract 1014; Los Angeles County; California,10,3490,85945,0.257964257964258
102103,Census Tract 1021.03; Los Angeles County; California,10,1834,65250,0.4008941877794337
102104,Census Tract 1021.04; Los Angeles County; California,10,4033,106250,0.2108895705521472
102105,Census Tract 1021.05; Los Angeles County; California,10,1610,92917,0.4165170556552962
102107,Census Tract 1021.07; Los Angeles County; California,10,3577,97778,0.232945091514143
103101,Census Tract 1031.01; Los Angeles County; California,10,2726,125694,0.1189245087900724
103102,Census Tract 1031.02; Los Angeles County; California,10,4550,84750,0.2814224402207235
103201,Census Tract 1032.01; Los Angeles County; California,10,4291,84281,0.6664552948636652
103202,Census Tract 1032.02; Los Angeles County; California,10,2010,112491,0.0188976377952755
103300,Census Tract 1033; Los Angeles County; California,10,3816,133333,0.0621970920840064
103401,Census Tract 1034.01; Los Angeles County; California,10,2391,96884,0.1322916666666666
103402,Census Tract 1034.02; Los Angeles County; California,10,3829,113393,0.2539091586001489
104103,Census Tract 1041.03; Los Angeles County; California,10,4281,107614,0.1387283236994219
104105,Census Tract 1041.05; Los Angeles County; California,10,6195,58897,0.4594084329767149
104108,Census Tract 1041.08; Los Angeles County; California,10,4962,62639,0.6067769897557131
104124,Census Tract 1041.24; Los Angeles County; California,10,4006,76071,0.2297709923664122
104201,Census Tract 1042.01; Los Angeles County; California,10,4636,93726,0.2135476463834672
104203,Census Tract 1042.03; Los Angeles County; California,10,5182,65000,0.4190391459074733
104204,Census Tract 1042.04; Los Angeles County; California,10,3691,75179,0.3258741258741259
104310,Census Tract 1043.10; Los Angeles County; California,10,4392,87463,0.1715210355987055
104321,Census Tract 1043.21; Los Angeles County; California,10,2890,36649,0.6
104322,Census Tract 1043.22; Los Angeles County; California,10,1787,72188,0.3258426966292135
104401,Census Tract 1044.01; Los Angeles County; California,10,2977,69306,0.4728171334431631
104403,Census Tract 1044.03; Los Angeles County; California,10,2352,89653,0.2700186219739292
104404,Census Tract 1044.04; Los Angeles County; California,10,3323,80556,0.5264550264550265
104500,Census Tract 1045; Los Angeles County; California,10,3301,71058,0.1980830670926517
104610,Census Tract 1046.10; Los Angeles County; California,10,3122,84107,0.3359375
104620,Census Tract 1046.20; Los Angeles County; California,10,3528,81316,0.389196675900277
104701,Census Tract 1047.01; Los Angeles County; California,10,3891,49844,0.7788778877887789
104703,Census Tract 1047.03; Los Angeles County; California,10,2298,48229,0.7032040472175379
104704,Census Tract 1047.04; Los Angeles County; California,10,4567,56512,0.353923205342237
104821,Census Tract 1048.21; Los Angeles County; California,10,3431,69423,0.6316489361702128
104822,Census Tract 1048.22; Los Angeles County; California,10,2461,48278,0.6677018633540373
104823,Census Tract 1048.23; Los Angeles County; California,10,3362,81406,0.2828282828282828
104824,Census Tract 1048.24; Los Angeles County; California,10,2657,88088,0.2058823529411764
106010,Census Tract 1060.10; Los Angeles County; California,10,3578,125556,0.23
106020,Census Tract 1060.20; Los Angeles County; California,10,4576,115282,0.2377240841777085
106111,Census Tract 1061.11; Los Angeles County; California,10,4859,124375,0.0533625730994152
106112,Census Tract 1061.12; Los Angeles County; California,10,5125,109333,0.1549497847919655
106113,Census Tract 1061.13; Los Angeles County; California,10,3871,111861,0.1779744346116027
106114,Census Tract 1061.14; Los Angeles County; California,10,6800,75179,0.4774193548387097
106403,Census Tract 1064.03; Los Angeles County; California,10,3701,91364,0.2563218390804597
106405,Census Tract 1064.05; Los Angeles County; California,10,4340,86159,0.4050420168067227
106406,Census Tract 1064.06; Los Angeles County; California,10,6534,99298,0.2281842818428184
106407,Census Tract 1064.07; Los Angeles County; California,10,2352,34360,0.8374384236453202
106408,Census Tract 1064.08; Los Angeles County; California,10,3733,54259,0.824
106510,Census Tract 1065.10; Los Angeles County; California,10,5717,113750,0.2276073619631901
106520,Census Tract 1065.20; Los Angeles County; California,10,5545,90292,0.294862772695285
106603,Census Tract 1066.03; Los Angeles County; California,10,3544,135368,0.1198312236286919
106604,Census Tract 1066.04; Los Angeles County; California,10,4010,63976,0.5842062852538276
106641,Census Tract 1066.41; Los Angeles County; California,10,2197,114444,0.1179624664879356
106642,Census Tract 1066.42; Los Angeles County; California,10,3442,137426,0.1037489102005231
106643,Census Tract 1066.43; Los Angeles County; California,10,4306,197411,0.0694752402069475
106645,Census Tract 1066.45; Los Angeles County; California,10,3769,128382,0.0898876404494382
106646,Census Tract 1066.46; Los Angeles County; California,10,3011,120865,0.1557632398753894
106648,Census Tract 1066.48; Los Angeles County; California,10,4581,68583,0.5841161400512382
106649,Census Tract 1066.49; Los Angeles County; California,10,2776,101528,0.1466458658346333
107010,Census Tract 1070.10; Los Angeles County; California,10,3177,82109,0.3157894736842105
107020,Census Tract 1070.20; Los Angeles County; California,10,4610,81625,0.3240660295395308
108101,Census Tract 1081.01; Los Angeles County; California,10,2274,150000,0.1272965879265092
108102,Census Tract 1081.02; Los Angeles County; California,10,3596,125540,0.1181434599156118
108103,Census Tract 1081.03; Los Angeles County; California,10,2968,149118,0.0881147540983606
108104,Census Tract 1081.04; Los Angeles County; California,10,1738,150550,0.2061482820976491
108202,Census Tract 1082.02; Los Angeles County; California,10,9302,164905,0.2968653964351567
108203,Census Tract 1082.03; Los Angeles County; California,10,3170,134917,0.3079584775086505
108204,Census Tract 1082.04; Los Angeles County; California,10,1780,169178,0.053763440860215
109100,Census Tract 1091; Los Angeles County; California,10,2675,81500,0.2729411764705882
109200,Census Tract 1092; Los Angeles County; California,10,3161,119917,0.1544477028347996
109300,Census Tract 1093; Los Angeles County; California,10,2864,112738,0.084070796460177
109400,Census Tract 1094; Los Angeles County; California,10,4175,93571,0.2716049382716049
109500,Census Tract 1095; Los Angeles County; California,10,3699,62500,0.3323232323232323
109601,Census Tract 1096.01; Los Angeles County; California,10,4831,114853,0.1213740458015267
109603,Census Tract 1096.03; Los Angeles County; California,10,3900,76545,0.3864734299516908
109604,Census Tract 1096.04; Los Angeles County; California,10,2900,101822,0.1933638443935926
109700,Census Tract 1097; Los Angeles County; California,10,4333,110500,0.2816091954022988
109800,Census Tract 1098; Los Angeles County; California,10,4584,74803,0.255249343832021
111100,Census Tract 1111; Los Angeles County; California,11,3076,117813,0.3409090909090909
111201,Census Tract 1112.01; Los Angeles County; California,11,3256,111439,0.1333973128598848
111202,Census Tract 1112.02; Los Angeles County; California,11,5670,110686,0.3821689259645464
111204,Census Tract 1112.04; Los Angeles County; California,11,5600,172376,0.1032578685808945
111205,Census Tract 1112.05; Los Angeles County; California,11,3879,103125,0.4711177794448612
111206,Census Tract 1112.06; Los Angeles County; California,11,4363,154563,0.0817477096546864
111302,Census Tract 1113.02; Los Angeles County; California,11,4880,88458,0.5048599199542596
111303,Census Tract 1113.03; Los Angeles County; California,11,4712,89688,0.3885793871866295
111304,Census Tract 1113.04; Los Angeles County; California,11,3106,49583,0.95717505634861
111401,Census Tract 1114.01; Los Angeles County; California,11,2293,130729,0.3635014836795252
111402,Census Tract 1114.02; Los Angeles County; California,11,6146,56257,0.7728735632183908
113101,Census Tract 1131.01; Los Angeles County; California,11,3525,121458,0.0886185925282363
113102,Census Tract 1131.02; Los Angeles County; California,11,2784,179688,0.0648429584599797
113211,Census Tract 1132.11; Los Angeles County; California,11,4248,109798,0.2338961851156973
113212,Census Tract 1132.12; Los Angeles County; California,11,2888,91987,0.4103092783505154
113213,Census Tract 1132.13; Los Angeles County; California,11,5087,118405,0.3425219941348973
113231,Census Tract 1132.31; Los Angeles County; California,11,2161,122094,0.1239470517448856
113232,Census Tract 1132.32; Los Angeles County; California,11,4596,143471,0.162108072048032
113234,Census Tract 1132.34; Los Angeles County; California,11,5653,71268,0.5510079413561393
113235,Census Tract 1132.35; Los Angeles County; California,11,1727,94010,0.2843894899536321
113237,Census Tract 1132.37; Los Angeles County; California,11,4725,150278,0.2948717948717949
113238,Census Tract 1132.38; Los Angeles County; California,11,4547,63333,0.7351724137931035
113239,Census Tract 1132.39; Los Angeles County; California,11,2343,47297,0.7415730337078652
113301,Census Tract 1133.01; Los Angeles County; California,11,4830,122692,0.5537240537240538
113303,Census Tract 1133.03; Los Angeles County; California,11,3774,108924,0.1510903426791277
113322,Census Tract 1133.22; Los Angeles County; California,11,4584,118286,0.2354497354497354
113323,Census Tract 1133.23; Los Angeles County; California,11,3619,86838,0.6844563042028019
113324,Census Tract 1133.24; Los Angeles County; California,11,2771,98214,0.875
113423,Census Tract 1134.23; Los Angeles County; California,11,3077,77078,0.2956120092378753
113424,Census Tract 1134.24; Los Angeles County; California,11,3346,106726,0.3327120223671947
113425,Census Tract 1134.25; Los Angeles County; California,11,4499,67031,0.9744525547445256
113426,Census Tract 1134.26; Los Angeles County; California,11,2322,63750,0.5417236662106704
113427,Census Tract 1134.27; Los Angeles County; California,11,2360,62071,0.7150368033648791
113428,Census Tract 1134.28; Los Angeles County; California,11,4222,117545,0.1260349586016559
115101,Census Tract 1151.01; Los Angeles County; California,11,4678,150280,0.1454038997214484
115103,Census Tract 1151.03; Los Angeles County; California,11,2725,-666666666,1.0
115104,Census Tract 1151.04; Los Angeles County; California,11,4327,60682,0.7358299595141701
115202,Census Tract 1152.02; Los Angeles County; California,11,6010,66528,0.5809569840502659
115203,Census Tract 1152.03; Los Angeles County; California,11,2236,90300,0.7027027027027027
115204,Census Tract 1152.04; Los Angeles County; California,11,3806,111528,0.6596825396825396
115301,Census Tract 1153.01; Los Angeles County; California,11,4511,103894,0.4838300570703868
115302,Census Tract 1153.02; Los Angeles County; California,11,3912,76250,0.644212523719165
115401,Census Tract 1154.01; Los Angeles County; California,11,5847,58909,0.662557781201849
115403,Census Tract 1154.03; Los Angeles County; California,11,3477,82875,0.7705382436260623
115404,Census Tract 1154.04; Los Angeles County; California,11,2830,92250,0.5922444183313749
117101,Census Tract 1171.01; Los Angeles County; California,11,5252,102639,0.3194539249146758
117102,Census Tract 1171.02; Los Angeles County; California,11,2504,90833,0.1895261845386533
117201,Census Tract 1172.01; Los Angeles County; California,11,4250,51395,0.7415914684167351
117202,Census Tract 1172.02; Los Angeles County; California,11,2853,107313,0.3510292524377031
117301,Census Tract 1173.01; Los Angeles County; California,11,3632,129266,0.2643051771117166
117302,Census Tract 1173.02; Los Angeles County; California,11,4957,119311,0.2090395480225988
117303,Census Tract 1173.03; Los Angeles County; California,11,4428,122096,0.1409168081494057
117404,Census Tract 1174.04; Los Angeles County; California,11,5548,127821,0.2210223182145428
117405,Census Tract 1174.05; Los Angeles County; California,11,3176,41480,0.92046783625731
117407,Census Tract 1174.07; Los Angeles County; California,11,3566,48341,0.9960278053624628
117408,Census Tract 1174.08; Los Angeles County; California,11,2404,50714,0.8579387186629527
117510,Census Tract 1175.10; Los Angeles County; California,11,3807,61875,0.8705314009661835
117520,Census Tract 1175.20; Los Angeles County; California,11,4571,53558,0.9056956115779644
117530,Census Tract 1175.30; Los Angeles County; California,11,5963,54654,0.8141437755698422
119001,Census Tract 1190.01; Los Angeles County; California,11,4462,105536,0.1715686274509804
119003,Census Tract 1190.03; Los Angeles County; California,11,3895,106625,0.2511848341232227
119004,Census Tract 1190.04; Los Angeles County; California,11,2768,74375,0.3104895104895105
119201,Census Tract 1192.01; Los Angeles County; California,11,4412,101667,0.1853546910755149
119202,Census Tract 1192.02; Los Angeles County; California,11,4766,72807,0.2998236331569665
119310,Census Tract 1193.10; Los Angeles County; California,11,3931,75588,0.3636363636363636
119320,Census Tract 1193.20; Los Angeles County; California,11,4475,86308,0.6562743569758379
119340,Census Tract 1193.40; Los Angeles County; California,11,3905,47021,0.9970355731225296
119341,Census Tract 1193.41; Los Angeles County; California,11,2750,51159,0.6196032672112018
119342,Census Tract 1193.42; Los Angeles County; California,11,2850,76078,0.5190839694656488
119400,Census Tract 1194; Los Angeles County; California,11,5061,93053,0.2028094820017559
119700,Census Tract 1197; Los Angeles County; California,11,4269,92011,0.1892542101042502
119801,Census Tract 1198.01; Los Angeles County; California,11,2556,94750,0.1806656101426307
119802,Census Tract 1198.02; Los Angeles County; California,11,3238,91964,0.2831858407079646
119900,Census Tract 1199; Los Angeles County; California,11,4521,87986,0.1565287915652879
120010,Census Tract 1200.10; Los Angeles County; California,12,2700,60972,0.5137614678899083
120020,Census Tract 1200.20; Los Angeles County; California,12,4359,43253,0.8324066719618745
120030,Census Tract 1200.30; Los Angeles County; California,12,2614,42188,0.930888575458392
120103,Census Tract 1201.03; Los Angeles County; California,12,3030,35357,0.9307875894988068
120104,Census Tract 1201.04; Los Angeles County; California,12,2375,46958,0.9066002490660025
120105,Census Tract 1201.05; Los Angeles County; California,12,2691,45237,0.6998827667057445
120106,Census Tract 1201.06; Los Angeles County; California,12,4443,38866,0.801829268292683
120107,Census Tract 1201.07; Los Angeles County; California,12,4044,40129,0.9644128113879004
120108,Census Tract 1201.08; Los Angeles County; California,12,4511,55063,0.6228932584269663
120300,Census Tract 1203; Los Angeles County; California,12,5299,66615,0.3286290322580645
120400,Census Tract 1204; Los Angeles County; California,12,6170,68491,0.6270373921380633
121010,Census Tract 1210.10; Los Angeles County; California,12,5277,82685,0.3076285240464345
121020,Census Tract 1210.20; Los Angeles County; California,12,3661,70382,0.4353488372093023
121101,Census Tract 1211.01; Los Angeles County; California,12,3191,66442,0.596562184024267
121102,Census Tract 1211.02; Los Angeles County; California,12,2271,72632,0.3937823834196891
121210,Census Tract 1212.10; Los Angeles County; California,12,2922,71932,0.344240837696335
121221,Census Tract 1212.21; Los Angeles County; California,12,2237,78897,0.1760154738878143
121222,Census Tract 1212.22; Los Angeles County; California,12,4872,71845,0.5591311343523733
121600,Census Tract 1216; Los Angeles County; California,12,2635,100139,0.1335044929396662
121801,Census Tract 1218.01; Los Angeles County; California,12,3916,45842,0.7052722558340536
121802,Census Tract 1218.02; Los Angeles County; California,12,3026,83450,0.3510791366906475
121900,Census Tract 1219; Los Angeles County; California,12,3314,67250,0.5492277992277992
122000,Census Tract 1220; Los Angeles County; California,12,5034,93454,0.2821813570069753
122120,Census Tract 1221.20; Los Angeles County; California,12,4692,59770,0.4464135021097046
122121,Census Tract 1221.21; Los Angeles County; California,12,2853,61875,0.6256345177664975
122122,Census Tract 1221.22; Los Angeles County; California,12,2507,46149,0.8351145038167939
122200,Census Tract 1222; Los Angeles County; California,12,3884,65255,0.5102739726027398
122410,Census Tract 1224.10; Los Angeles County; California,12,3949,55345,0.8407960199004975
122420,Census Tract 1224.20; Los Angeles County; California,12,5113,74966,0.6268088347296268
123010,Census Tract 1230.10; Los Angeles County; California,12,3948,48549,0.6740220661985958
123020,Census Tract 1230.20; Los Angeles County; California,12,2634,81250,0.4283625730994152
123103,Census Tract 1231.03; Los Angeles County; California,12,3917,80857,0.62468671679198
123104,Census Tract 1231.04; Los Angeles County; California,12,4393,69276,0.684863523573201
123203,Census Tract 1232.03; Los Angeles County; California,12,2982,40938,0.8385155466399198
123204,Census Tract 1232.04; Los Angeles County; California,12,3399,64550,0.8270893371757925
123205,Census Tract 1232.05; Los Angeles County; California,12,2959,53281,0.7635658914728682
123206,Census Tract 1232.06; Los Angeles County; California,12,2371,41750,0.7850821744627055
123301,Census Tract 1233.01; Los Angeles County; California,12,4068,72668,0.5542095699576014
123303,Census Tract 1233.03; Los Angeles County; California,12,3029,69958,0.6154721274175199
123304,Census Tract 1233.04; Los Angeles County; California,12,4499,44009,0.7730616864742501
123410,Census Tract 1234.10; Los Angeles County; California,12,3503,51828,0.7319078947368421
123420,Census Tract 1234.20; Los Angeles County; California,12,4401,54572,0.7034659820282413
123510,Census Tract 1235.10; Los Angeles County; California,12,4911,47805,0.7696629213483146
123520,Census Tract 1235.20; Los Angeles County; California,12,2619,57446,0.6107470511140236
123601,Census Tract 1236.01; Los Angeles County; California,12,5145,66642,0.6088772845953002
123602,Census Tract 1236.02; Los Angeles County; California,12,3190,58705,0.5882845188284519
123700,Census Tract 1237; Los Angeles County; California,12,4214,90767,0.5170789163722026
123800,Census Tract 1238; Los Angeles County; California,12,5696,90933,0.5627494456762749
123901,Census Tract 1239.01; Los Angeles County; California,12,3986,41154,0.6284074605451937
123902,Census Tract 1239.02; Los Angeles County; California,12,2668,88438,0.5908273381294964
124000,Census Tract 1240; Los Angeles County; California,12,4432,78493,0.5349586016559338
124102,Census Tract 1241.02; Los Angeles County; California,12,3650,67131,0.7240905971173645
124103,Census Tract 1241.03; Los Angeles County; California,12,1811,57793,0.6596119929453262
124104,Census Tract 1241.04; Los Angeles County; California,12,2764,50724,0.8594491927825261
124105,Census Tract 1241.05; Los Angeles County; California,12,2250,62845,0.8321428571428572
124201,Census Tract 1242.01; Los Angeles County; California,12,3837,77379,0.5249764373232799
124203,Census Tract 1242.03; Los Angeles County; California,12,2003,63851,0.7202072538860104
124204,Census Tract 1242.04; Los Angeles County; California,12,2302,50921,0.892933618843683
124300,Census Tract 1243; Los Angeles County; California,12,2964,62426,0.6680602006688964
124400,Census Tract 1244; Los Angeles County; California,12,4582,84957,0.7
124500,Census Tract 1245; Los Angeles County; California,12,2695,75625,0.4506578947368421
124600,Census Tract 1246; Los Angeles County; California,12,2608,91452,0.5942492012779552
124700,Census Tract 1247; Los Angeles County; California,12,5409,101863,0.615415986949429
124902,Census Tract 1249.02; Los Angeles County; California,12,3301,58178,0.8789850357839948
124903,Census Tract 1249.03; Los Angeles County; California,12,3744,75907,0.7857589006870705
125101,Census Tract 1251.01; Los Angeles County; California,12,3978,81758,0.8466635115948887
125102,Census Tract 1251.02; Los Angeles County; California,12,1948,158596,0.5047961630695443
125200,Census Tract 1252; Los Angeles County; California,12,3889,88274,0.7193169690501601
125310,Census Tract 1253.10; Los Angeles County; California,12,3598,58162,0.8068297655453619
125321,Census Tract 1253.21; Los Angeles County; California,12,2761,53778,0.93541518807665
125322,Census Tract 1253.22; Los Angeles County; California,12,1981,34432,1.0
125402,Census Tract 1254.02; Los Angeles County; California,12,4403,86170,0.784816247582205
125403,Census Tract 1254.03; Los Angeles County; California,12,2571,80893,0.9652974504249292
125404,Census Tract 1254.04; Los Angeles County; California,12,2886,77574,1.0
125501,Census Tract 1255.01; Los Angeles County; California,12,2871,62109,0.9013627514600908
125502,Census Tract 1255.02; Los Angeles County; California,12,3624,78139,0.7826982492276005
125600,Census Tract 1256; Los Angeles County; California,12,2941,105432,0.5530243519245875
127102,Census Tract 1271.02; Los Angeles County; California,12,4956,50739,0.6020738820479585
127103,Census Tract 1271.03; Los Angeles County; California,12,3360,58591,0.8330745341614907
